"ntree","nleaf","k","kfold","train","train.ave","test","test.ave"
1,1,1,10,1.17170894145966,1.17170894145966,0.953293859958649,0.953293859958649
1,1,2,10,1.16927230358124,1.17049062252045,0.98214203119278,0.967717945575714
1,1,3,10,1.13939964771271,1.16012692451477,1.26766276359558,1.06769955158234
1,1,4,10,1.14257109165192,1.15573799610138,1.24168431758881,1.1111958026886
1,1,5,10,1.1216721534729,1.14892482757568,1.40778160095215,1.17051291465759
1,1,6,10,1.1430549621582,1.14794647693634,1.23873341083527,1.18188297748566
1,1,7,10,1.13981854915619,1.14678537845612,1.27328717708588,1.19494068622589
1,1,8,10,1.16585552692413,1.14916920661926,1.02217233181,1.17334461212158
1,1,9,10,1.16504919528961,1.1509336233139,1.02654922008514,1.15703403949738
1,1,10,10,1.14043867588043,1.1498841047287,1.26240706443787,1.16757130622864
1,2,1,10,1.05522871017456,1.05522871017456,1.00395846366882,1.00395846366882
1,2,2,10,1.06074035167694,1.0579845905304,0.949395835399628,0.976677179336548
1,2,3,10,1.04590857028961,1.05395925045013,1.08925569057465,1.01420331001282
1,2,4,10,1.03731465339661,1.04979813098907,1.16460394859314,1.0518034696579
1,2,5,10,1.03531551361084,1.04690158367157,1.18350529670715,1.07814383506775
1,2,6,10,1.04406547546387,1.0464289188385,1.10957765579224,1.08338284492493
1,2,7,10,1.04548740386963,1.04629445075989,1.10369074344635,1.08628392219543
1,2,8,10,1.04857802391052,1.04657983779907,1.07185006141663,1.08447968959808
1,2,9,10,1.06989514827728,1.0491703748703,0.845317959785461,1.05790615081787
1,2,10,10,1.03621184825897,1.04787456989288,1.17632710933685,1.06974828243256
1,3,1,10,1.05274641513824,1.05274641513824,1.00202286243439,1.00202286243439
1,3,2,10,1.05550694465637,1.05412673950195,0.976024508476257,0.989023685455322
1,3,3,10,1.04590857028961,1.05138731002808,1.08925569057465,1.02243435382843
1,3,4,10,1.03464818000793,1.04720258712769,1.16424739360809,1.0578875541687
1,3,5,10,1.03281939029694,1.04432594776154,1.18160569667816,1.08263123035431
1,3,6,10,1.04176676273346,1.04389941692352,1.10579097270966,1.08649122714996
1,3,7,10,1.04252469539642,1.04370307922363,1.10641849040985,1.08933794498444
1,3,8,10,1.04560661315918,1.04394102096558,1.07495844364166,1.08754050731659
1,3,9,10,1.06646883487701,1.04644405841827,0.969840586185455,1.07446277141571
1,3,10,10,1.03185367584229,1.04498505592346,1.19047915935516,1.08606445789337
1,4,1,10,1.04861509799957,1.04861509799957,1.00408542156219,1.00408542156219
1,4,2,10,1.05397999286652,1.05129754543304,0.951659619808197,0.977872490882874
1,4,3,10,1.04302394390106,1.04853963851929,1.08926558494568,1.01500356197357
1,4,4,10,1.0307023525238,1.04408025741577,1.16365194320679,1.05216562747955
1,4,5,10,1.02879917621613,1.04102408885956,1.18159854412079,1.07805216312408
1,4,6,10,1.03679883480072,1.04031991958618,1.14515805244446,1.08923649787903
1,4,7,10,1.03894436359406,1.040123462677,1.10246610641479,1.09112644195557
1,4,8,10,1.04165124893188,1.04031443595886,1.07474875450134,1.08907926082611
1,4,9,10,1.06343865394592,1.04288375377655,0.844618380069733,1.06191694736481
1,4,10,10,1.02933061122894,1.04152846336365,1.1777617931366,1.07350146770477
1,5,1,10,1.04861509799957,1.04861509799957,1.00408542156219,1.00408542156219
1,5,2,10,1.05397987365723,1.05129742622375,0.951659679412842,0.977872550487518
1,5,3,10,1.04102659225464,1.04787385463715,1.11555254459381,1.02376592159271
1,5,4,10,1.02880930900574,1.04310774803162,1.29622960090637,1.09188187122345
1,5,5,10,1.02879917621613,1.04024600982666,1.1815984249115,1.10982513427734
1,5,6,10,1.03679883480072,1.03967142105103,1.14515793323517,1.11571395397186
1,5,7,10,1.03894436359406,1.03956758975983,1.10246610641479,1.11382138729095
1,5,8,10,1.04165124893188,1.0398280620575,1.07474875450134,1.10893726348877
1,5,9,10,1.05991065502167,1.04205942153931,0.969606995582581,1.09345614910126
1,5,10,10,1.02933061122894,1.04078650474548,1.19151449203491,1.10326194763184
1,6,1,10,1.04861509799957,1.04861509799957,1.00408542156219,1.00408542156219
1,6,2,10,1.05397987365723,1.05129742622375,0.951659679412842,0.977872550487518
1,6,3,10,1.04539155960083,1.04932880401611,1.08915913105011,1.01496803760529
