"","x"
"1",1.42958092689514
"2",1.40985894203186
"3",1.44432091712952
"4",1.41138243675232
"5",1.42323970794678
"6",1.41733229160309
"7",1.42606341838837
"8",1.42106294631958
"9",1.40387606620789
"10",1.41076707839966
"11",1.42306458950043
"12",1.42764258384705
"13",1.43153607845306
"14",1.42344725131989
"15",1.42553663253784
"16",1.42794322967529
"17",1.42083775997162
"18",1.40192639827728
"19",1.42655026912689
"20",1.40991640090942
"21",1.43559777736664
"22",1.42553555965424
"23",1.3981785774231
"24",1.42184996604919
"25",1.42961704730988
