"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,369,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,410,507,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,393,460,339,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,356,402,292,376,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,410,433,317,400,441,422,0,0,0,0,0,0,0,0,0,0,0,0,0
395,367,385,305,273,418,298,385,0,0,0,0,0,0,0,0,0,0,0,0
390,276,423,263,385,272,429,320,366,0,0,0,0,0,0,0,0,0,0,0
444,393,467,407,388,364,356,375,396,385,0,0,0,0,0,0,0,0,0,0
284,359,428,393,397,322,282,458,375,289,330,0,0,0,0,0,0,0,0,0
392,371,348,277,395,411,350,428,302,216,202,389,0,0,0,0,0,0,0,0
374,377,315,256,452,216,247,286,284,264,382,420,291,0,0,0,0,0,0,0
411,423,460,376,507,385,433,414,349,321,463,442,385,344,0,0,0,0,0,0
346,379,462,346,348,376,367,475,364,315,359,378,392,345,423,0,0,0,0,0
458,460,396,311,385,398,378,331,443,361,346,409,402,382,417,342,0,0,0,0
339,421,537,360,325,342,293,383,333,294,354,333,324,341,495,409,364,0,0,0
351,349,508,338,379,396,425,348,406,409,404,305,368,329,378,291,451,418,0,0
342,400,369,231,375,349,285,432,260,302,342,244,388,294,380,304,317,354,287,0
